symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,82,23,29,8013
2,192,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,108,101,23,29,16430
0,115,mazda,gas,sedan,fwd,front,66.5,55.5,ohc,122,84,26,32,10245
1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,37,41,5572
1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,35,39,5348
2,134,toyota,gas,hardtop,rwd,front,65.6,52.0,ohc,146,116,24,30,11199
3,?,alfa-romero,gas,convertible,rwd,front,64.1,48.8,dohc,130,111,21,27,13495
2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,52,37,46,7995
2,122,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,7975
-1,93,mercedes-benz,diesel,sedan,rwd,front,71.7,56.3,ohc,183,123,22,25,31600
-1,95,volvo,diesel,sedan,rwd,front,68.9,55.5,ohc,145,106,26,27,22470
0,115,mazda,gas,hatchback,fwd,front,66.5,55.5,ohc,122,84,26,32,11245
1,?,isuzu,gas,sedan,fwd,front,63.6,52.0,ohc,90,70,38,43,10000
1,168,toyota,gas,sedan,rwd,front,64.0,52.6,dohc,98,112,26,29,9298
-1,110,dodge,gas,wagon,fwd,front,64.6,59.8,ohc,122,88,24,30,8921
0,85,honda,gas,sedan,fwd,front,62.5,54.1,ohc,110,86,27,33,10295
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,13200
-1,74,plymouth,gas,wagon,fwd,front,64.6,59.8,ohc,122,88,24,30,8921
1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7957
0,91,toyota,gas,wagon,4wd,front,63.6,59.1,ohc,92,62,27,32,8778
3,?,volkswagen,gas,convertible,fwd,front,64.2,55.6,ohc,109,90,24,29,11595
3,153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,ohc,122,88,25,32,8499
0,85,honda,gas,sedan,fwd,front,65.2,54.1,ohc,110,86,27,33,8845
2,134,toyota,gas,convertible,rwd,front,65.6,53.0,ohc,146,116,24,30,17669
0,145,jaguar,gas,sedan,rwd,front,69.6,52.8,dohc,258,176,15,19,32250
1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,7299
0,91,toyota,diesel,sedan,fwd,front,64.4,53.0,ohc,110,56,34,36,7898
0,?,isuzu,gas,sedan,rwd,front,61.8,53.5,ohc,111,78,24,29,6785
0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,28,33,7775
2,164,audi,gas,sedan,fwd,front,66.2,54.3,ohc,109,102,24,30,13950
3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,200,17,23,19699
1,113,mazda,gas,sedan,fwd,front,64.2,54.1,ohc,91,68,31,38,6695
2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,12170
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8195
0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,28,34,8358
3,256,volkswagen,gas,hatchback,fwd,front,64.0,51.4,ohc,109,90,24,29,9980
0,?,jaguar,gas,sedan,rwd,front,70.6,47.8,ohcv,326,262,13,17,36000
3,153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,ohc,110,116,23,30,9959
1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,92,76,30,34,7129
1,?,audi,gas,wagon,fwd,front,71.4,55.7,ohc,136,110,19,25,18920
0,?,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,13860
1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,6649
3,?,mitsubishi,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,14869
-1,?,toyota,gas,wagon,rwd,front,66.5,54.1,dohc,161,156,19,24,15750
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8495
1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,5499
1,158,audi,gas,sedan,fwd,front,71.4,55.9,ohc,131,140,17,20,23875
0,188,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,164,121,21,28,21105
1,129,mazda,gas,hatchback,fwd,front,66.5,53.7,ohc,122,84,26,32,8845
-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,27,32,10898
2,?,renault,gas,hatchback,fwd,front,66.6,50.5,ohc,132,?,23,31,9895
0,?,bmw,gas,sedan,rwd,front,70.9,56.3,ohc,209,182,15,20,36880
3,142,mercedes-benz,gas,convertible,rwd,front,70.5,50.8,ohcv,234,155,16,18,35056
-1,90,toyota,gas,sedan,rwd,front,66.5,54.1,dohc,171,156,20,24,15690
3,150,saab,gas,hatchback,fwd,front,66.5,56.1,ohc,121,110,21,28,15040
2,134,toyota,gas,hatchback,rwd,front,65.6,52.0,ohc,146,116,24,30,11549
-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,130,162,17,22,18420
0,?,mazda,diesel,sedan,fwd,front,66.5,55.5,ohc,122,64,36,42,10795
1,113,mazda,gas,sedan,fwd,front,64.2,54.1,ohc,91,68,31,38,7395
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,11900
1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,30,31,5195
-1,95,volvo,gas,sedan,rwd,front,68.8,55.5,ohc,141,160,19,25,19045
2,134,toyota,gas,hatchback,rwd,front,65.6,52.0,ohc,146,116,24,30,9989
3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,80,135,16,23,15645
0,?,jaguar,gas,sedan,rwd,front,69.6,52.8,dohc,258,176,15,19,35550
-1,137,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,110,116,23,30,9279
1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,37,41,5572
3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,70,101,17,23,13645
0,91,toyota,gas,sedan,fwd,front,64.4,53.0,ohc,98,70,38,47,7738
-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,141,114,24,28,16515
1,?,porsche,gas,hatchback,rwd,front,72.3,50.5,dohcv,203,288,17,28,12000
0,106,honda,gas,hatchback,fwd,front,65.2,53.3,ohc,110,86,27,33,7895
0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,30,37,7198
0,?,volkswagen,gas,wagon,fwd,front,66.9,55.1,ohc,109,88,25,31,12290
3,?,alfa-romero,gas,convertible,rwd,front,64.1,48.8,dohc,130,111,21,27,16500
1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,31,38,6795
0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,111,23,23,11694
0,?,renault,gas,wagon,fwd,front,66.5,55.2,ohc,132,?,23,31,9295
1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,31,38,6338
0,108,nissan,gas,sedan,fwd,front,66.5,55.1,ohcv,181,152,19,25,13499
0,106,nissan,gas,hatchback,fwd,front,65.2,54.7,ohc,120,97,27,34,8949
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,17950
1,125,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,110,116,23,30,9279
1,?,mercedes-benz,gas,hardtop,rwd,front,72.0,55.4,ohcv,304,184,14,16,45400
1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,90,68,31,38,6692
-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,19,25,22625
0,81,chevrolet,gas,sedan,fwd,front,63.6,52.0,ohc,90,70,38,43,6575
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,100,26,32,9995
-1,?,mercedes-benz,gas,sedan,rwd,front,71.7,56.5,ohcv,234,155,16,18,34184
1,231,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,18399
1,?,bmw,gas,sedan,rwd,front,66.9,55.7,ohc,164,121,20,25,24565
1,122,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,6849
3,197,toyota,gas,hatchback,rwd,front,67.7,52.0,dohc,171,161,19,24,15998
0,108,nissan,gas,wagon,fwd,front,66.5,56.1,ohcv,181,152,17,22,14399
