symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
1,4.672828834461906,honda,gas,sedan,fwd,front,66.0,3.9318256327243257,ohc,110,100.0,25,31,10345
0,4.804021044733257,isuzu,gas,sedan,rwd,front,61.8,3.979681653901961,ohc,111,78.0,24,29,6785
1,4.804021044733257,isuzu,gas,sedan,fwd,front,63.6,3.9512437185814275,ohc,90,70.0,38,43,10000
0,4.804021044733257,isuzu,gas,sedan,fwd,front,63.6,3.9512437185814275,ohc,90,70.0,38,43,23000
2,4.804021044733257,isuzu,gas,hatchback,rwd,front,65.2,3.9396381724611196,ohc,119,90.0,24,29,11048
1,4.6443908991413725,mazda,gas,hatchback,fwd,front,64.2,3.9908341858524357,ohc,91,68.0,30,31,5195
1,4.6443908991413725,mazda,gas,hatchback,fwd,front,64.2,3.9908341858524357,ohc,91,68.0,31,38,6095
1,4.6443908991413725,mazda,gas,hatchback,fwd,front,64.2,3.9908341858524357,ohc,91,68.0,31,38,6795
1,4.727387818712341,mazda,gas,sedan,fwd,front,64.2,3.9908341858524357,ohc,91,68.0,31,38,6695
1,4.727387818712341,mazda,gas,sedan,fwd,front,64.2,3.9908341858524357,ohc,91,68.0,31,38,7395
3,5.0106352940962555,mazda,gas,hatchback,rwd,front,65.7,3.903990833730882,rotor,70,101.0,17,23,10945
3,5.0106352940962555,mazda,gas,hatchback,rwd,front,65.7,3.903990833730882,rotor,70,101.0,17,23,11845
3,5.0106352940962555,mazda,gas,hatchback,rwd,front,65.7,3.903990833730882,rotor,70,101.0,17,23,13645
3,5.0106352940962555,mazda,gas,hatchback,rwd,front,65.7,3.903990833730882,rotor,80,135.0,16,23,15645
1,4.859812404361672,mazda,gas,hatchback,fwd,front,66.5,3.983413001514819,ohc,122,84.0,26,32,8845
0,4.74493212836325,mazda,gas,sedan,fwd,front,66.5,4.0163830207523885,ohc,122,84.0,26,32,8495
1,4.859812404361672,mazda,gas,hatchback,fwd,front,66.5,3.983413001514819,ohc,122,84.0,26,32,10595
0,4.74493212836325,mazda,gas,sedan,fwd,front,66.5,4.0163830207523885,ohc,122,84.0,26,32,10245
0,4.804021044733257,mazda,diesel,sedan,fwd,front,66.5,4.0163830207523885,ohc,122,64.0,36,42,10795
0,4.74493212836325,mazda,gas,hatchback,fwd,front,66.5,4.0163830207523885,ohc,122,84.0,26,32,11245
0,4.770684624465665,mazda,gas,sedan,rwd,front,66.1,3.996364153861897,ohc,140,120.0,19,27,18280
0,4.804021044733257,mazda,diesel,sedan,rwd,front,66.1,3.996364153861897,ohc,134,72.0,31,39,18344
-1,4.532599493153256,mercedes-benz,diesel,sedan,rwd,front,70.3,4.034240638152395,ohc,183,123.0,22,25,25552
-1,4.532599493153256,mercedes-benz,diesel,wagon,rwd,front,70.3,4.072439726834051,ohc,183,123.0,22,25,28248
0,4.532599493153256,mercedes-benz,diesel,hardtop,rwd,front,70.3,4.005513348515485,ohc,183,123.0,22,25,28176
1,4.804021044733257,mercury,gas,hatchback,rwd,front,68.0,4.00369019395397,ohc,140,175.0,19,24,16503
2,5.081404364984463,mitsubishi,gas,hatchback,fwd,front,64.4,3.927896354584436,ohc,92,68.0,37,41,5389
2,5.081404364984463,mitsubishi,gas,hatchback,fwd,front,64.4,3.927896354584436,ohc,92,68.0,31,38,6189
2,5.081404364984463,mitsubishi,gas,hatchback,fwd,front,64.4,3.927896354584436,ohc,92,68.0,31,38,6669
1,5.081404364984463,mitsubishi,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,98,102.0,24,30,7689
3,5.030437921392435,mitsubishi,gas,hatchback,fwd,front,65.4,3.899950424193877,ohc,110,116.0,23,30,9959
3,5.030437921392435,mitsubishi,gas,hatchback,fwd,front,65.4,3.899950424193877,ohc,122,88.0,25,32,8499
3,4.804021044733257,mitsubishi,gas,hatchback,fwd,front,66.3,3.9160150266976834,ohc,156,145.0,19,24,12629
3,4.804021044733257,mitsubishi,gas,hatchback,fwd,front,66.3,3.9160150266976834,ohc,156,145.0,19,24,14869
3,4.804021044733257,mitsubishi,gas,hatchback,fwd,front,66.3,3.9160150266976834,ohc,156,145.0,19,24,14489
1,4.8283137373023015,mitsubishi,gas,sedan,fwd,front,65.4,3.9435216724875173,ohc,122,88.0,25,32,6989
1,4.8283137373023015,mitsubishi,gas,sedan,fwd,front,65.4,3.9435216724875173,ohc,122,88.0,25,32,8189
1,4.8283137373023015,mitsubishi,gas,sedan,fwd,front,65.4,3.9435216724875173,ohc,110,116.0,23,30,9279
-1,4.919980925828125,mitsubishi,gas,sedan,fwd,front,65.4,3.9435216724875173,ohc,110,116.0,23,30,9279
1,4.852030263919617,nissan,gas,sedan,fwd,front,63.8,3.9982007016691985,ohc,97,69.0,31,37,5499
1,4.852030263919617,nissan,diesel,sedan,fwd,front,63.8,3.9982007016691985,ohc,103,55.0,45,50,7099
1,4.852030263919617,nissan,gas,sedan,fwd,front,63.8,3.9982007016691985,ohc,97,69.0,31,37,6649
1,4.804021044733257,nissan,gas,sedan,fwd,front,63.8,3.9982007016691985,ohc,97,69.0,31,37,6849
1,4.634728988229636,nissan,gas,wagon,fwd,front,63.8,3.979681653901961,ohc,97,69.0,31,37,7349
1,4.852030263919617,nissan,gas,sedan,fwd,front,63.8,3.9982007016691985,ohc,97,69.0,31,37,7299
1,4.852030263919617,nissan,gas,hatchback,fwd,front,63.8,3.975936331171799,ohc,97,69.0,31,37,7799
1,4.804021044733257,nissan,gas,sedan,fwd,front,63.8,3.9982007016691985,ohc,97,69.0,31,37,7499
1,4.634728988229636,nissan,gas,wagon,fwd,front,63.8,3.979681653901961,ohc,97,69.0,31,37,7999
2,5.123963979403259,nissan,gas,hardtop,fwd,front,63.8,3.975936331171799,ohc,97,69.0,31,37,8249
0,4.663439094112067,nissan,gas,hatchback,fwd,front,65.2,4.001863709427935,ohc,120,97.0,27,34,8949
0,4.663439094112067,nissan,gas,sedan,fwd,front,65.2,4.001863709427935,ohc,120,97.0,27,34,9549
0,4.852030263919617,nissan,gas,sedan,fwd,front,66.5,4.009149716158869,ohcv,181,152.0,17,22,13499
0,4.68213122712422,nissan,gas,wagon,fwd,front,66.5,4.027135812528651,ohcv,181,152.0,17,22,14399
0,4.68213122712422,nissan,gas,sedan,fwd,front,66.5,4.009149716158869,ohcv,181,152.0,19,25,13499
3,5.267858159063328,nissan,gas,hatchback,rwd,front,67.9,3.906004933102583,ohcv,181,160.0,19,25,17199
3,5.267858159063328,nissan,gas,hatchback,rwd,front,67.9,3.906004933102583,ohcv,181,200.0,17,23,19699
1,5.442417710521793,nissan,gas,hatchback,rwd,front,67.9,3.906004933102583,ohcv,181,160.0,19,25,18399
0,5.081404364984463,peugot,gas,sedan,rwd,front,68.4,4.037774210733707,l,120,97.0,19,24,11900
0,5.081404364984463,peugot,diesel,sedan,rwd,front,68.4,4.037774210733707,l,152,95.0,28,33,13200
0,4.804021044733257,peugot,gas,wagon,rwd,front,68.4,4.072439726834051,l,120,97.0,19,24,12440
0,4.804021044733257,peugot,diesel,wagon,rwd,front,68.4,4.072439726834051,l,152,95.0,25,25,13860
0,5.081404364984463,peugot,gas,sedan,rwd,front,68.4,4.037774210733707,l,120,95.0,19,24,15580
0,5.081404364984463,peugot,diesel,sedan,rwd,front,68.4,4.037774210733707,l,152,95.0,28,33,16900
0,4.804021044733257,peugot,gas,wagon,rwd,front,68.4,4.037774210733707,l,120,95.0,19,24,16695
0,4.804021044733257,peugot,diesel,wagon,rwd,front,68.4,4.072439726834051,l,152,95.0,25,25,17075
0,5.081404364984463,peugot,gas,sedan,rwd,front,68.4,4.037774210733707,l,120,97.0,19,24,16630
0,5.081404364984463,peugot,diesel,sedan,rwd,front,68.4,4.037774210733707,l,152,95.0,28,33,17950
0,5.081404364984463,peugot,gas,sedan,rwd,front,68.3,4.02535169073515,l,134,142.0,18,24,18150
1,4.77912349311153,plymouth,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,90,68.0,37,41,5572
1,4.77912349311153,plymouth,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,98,102.0,24,30,7957
1,5.0369526024136295,plymouth,gas,hatchback,fwd,front,63.8,3.92395157629342,ohc,90,68.0,31,38,6229
1,5.0369526024136295,plymouth,gas,sedan,fwd,front,63.8,3.927896354584436,ohc,90,68.0,31,38,6692
1,5.0369526024136295,plymouth,gas,sedan,fwd,front,63.8,3.927896354584436,ohc,98,68.0,31,38,7609
-1,4.30406509320417,plymouth,gas,wagon,fwd,front,64.6,4.091005660956586,ohc,122,88.0,24,30,8921
3,4.804021044733257,plymouth,gas,hatchback,rwd,front,66.3,3.9160150266976834,ohc,156,145.0,19,24,12764
3,5.225746673713202,porsche,gas,hatchback,rwd,front,68.3,3.9160150266976834,ohc,151,143.0,19,27,22018
1,4.804021044733257,porsche,gas,hatchback,rwd,front,72.3,3.9219733362813143,dohcv,203,288.0,17,28,12000
0,4.804021044733257,renault,gas,wagon,fwd,front,66.5,4.01096295328305,ohc,132,104.25615763546799,23,31,9295
2,4.804021044733257,renault,gas,hatchback,fwd,front,66.6,3.9219733362813143,ohc,132,104.25615763546799,23,31,9895
3,5.0106352940962555,saab,gas,hatchback,fwd,front,66.5,4.027135812528651,ohc,121,110.0,21,28,11850
2,4.6443908991413725,saab,gas,sedan,fwd,front,66.5,4.027135812528651,ohc,121,110.0,21,28,12170
3,5.0106352940962555,saab,gas,hatchback,fwd,front,66.5,4.027135812528651,ohc,121,110.0,21,28,15040
2,4.6443908991413725,saab,gas,sedan,fwd,front,66.5,4.027135812528651,ohc,121,110.0,21,28,15510
3,5.0106352940962555,saab,gas,hatchback,fwd,front,66.5,4.027135812528651,dohc,121,160.0,19,26,18150
2,4.6443908991413725,saab,gas,sedan,fwd,front,66.5,4.027135812528651,dohc,121,160.0,19,26,18620
2,4.418840607796598,subaru,gas,hatchback,fwd,front,63.4,3.983413001514819,ohcf,97,69.0,31,36,5118
2,4.418840607796598,subaru,gas,hatchback,fwd,front,63.6,3.983413001514819,ohcf,108,73.0,26,31,7053
2,4.418840607796598,subaru,gas,hatchback,4wd,front,63.8,4.019980146933238,ohcf,108,73.0,26,31,7603
0,4.624972813284271,subaru,gas,sedan,fwd,front,65.4,3.960813169597578,ohcf,108,82.0,32,37,7126
0,4.624972813284271,subaru,gas,sedan,fwd,front,65.4,3.960813169597578,ohcf,108,82.0,28,33,7775
0,4.624972813284271,subaru,gas,sedan,fwd,front,65.4,3.960813169597578,ohcf,108,94.0,26,32,9960
0,4.624972813284271,subaru,gas,sedan,4wd,front,65.4,3.9945242269398897,ohcf,108,82.0,24,25,9233
0,4.624972813284271,subaru,gas,sedan,4wd,front,65.4,3.9945242269398897,ohcf,108,111.0,24,29,11259
0,4.48863636973214,subaru,gas,wagon,fwd,front,65.4,3.970291913552122,ohcf,108,82.0,28,32,7463
0,4.48863636973214,subaru,gas,wagon,fwd,front,65.4,3.970291913552122,ohcf,108,94.0,25,31,10198
0,4.442651256490317,subaru,gas,wagon,4wd,front,65.4,4.005513348515485,ohcf,108,82.0,23,29,8013
0,4.442651256490317,subaru,gas,wagon,4wd,front,65.4,4.005513348515485,ohcf,108,111.0,23,23,11694
1,4.465908118654584,toyota,gas,hatchback,fwd,front,63.6,3.9982007016691985,ohc,92,62.0,35,39,5348
1,4.465908118654584,toyota,gas,hatchback,fwd,front,63.6,3.9982007016691985,ohc,92,62.0,31,38,6338
1,4.30406509320417,toyota,gas,hatchback,fwd,front,63.6,3.9982007016691985,ohc,92,62.0,31,38,6488
0,4.343805421853684,toyota,gas,wagon,fwd,front,63.6,4.079230924412053,ohc,92,62.0,31,37,6918
0,4.394449154672439,toyota,gas,wagon,4wd,front,63.6,4.079230924412053,ohc,92,62.0,27,32,7898
0,4.51085950651685,toyota,gas,wagon,4wd,front,63.6,4.079230924412053,ohc,92,62.0,27,32,8778
0,4.51085950651685,toyota,gas,sedan,fwd,front,64.4,3.970291913552122,ohc,98,70.0,30,37,6938
0,4.51085950651685,toyota,gas,hatchback,fwd,front,64.4,3.966511190712216,ohc,98,70.0,30,37,7198
0,4.51085950651685,toyota,diesel,sedan,fwd,front,64.4,3.970291913552122,ohc,110,56.0,34,36,7898
0,4.51085950651685,toyota,diesel,hatchback,fwd,front,64.4,3.966511190712216,ohc,110,56.0,38,47,7788
0,4.51085950651685,toyota,gas,sedan,fwd,front,64.4,3.970291913552122,ohc,98,70.0,38,47,7738
0,4.51085950651685,toyota,gas,hatchback,fwd,front,64.4,3.966511190712216,ohc,98,70.0,28,34,8358
0,4.51085950651685,toyota,gas,sedan,fwd,front,64.4,3.966511190712216,ohc,98,70.0,28,34,9258
1,5.123963979403259,toyota,gas,sedan,rwd,front,64.0,3.9627161197436642,ohc,98,70.0,29,34,8058
1,5.123963979403259,toyota,gas,hatchback,rwd,front,64.0,3.9627161197436642,ohc,98,70.0,29,34,8238
1,5.123963979403259,toyota,gas,sedan,rwd,front,64.0,3.9627161197436642,dohc,98,112.0,26,29,9298
1,5.123963979403259,toyota,gas,hatchback,rwd,front,64.0,3.9627161197436642,dohc,98,112.0,26,29,9538
2,4.897839799950911,toyota,gas,hardtop,rwd,front,65.6,3.9512437185814275,ohc,146,116.0,24,30,8449
2,4.897839799950911,toyota,gas,hardtop,rwd,front,65.6,3.9512437185814275,ohc,146,116.0,24,30,9639
2,4.897839799950911,toyota,gas,hatchback,rwd,front,65.6,3.9512437185814275,ohc,146,116.0,24,30,9989
2,4.897839799950911,toyota,gas,hardtop,rwd,front,65.6,3.9512437185814275,ohc,146,116.0,24,30,11199
2,4.897839799950911,toyota,gas,hatchback,rwd,front,65.6,3.9512437185814275,ohc,146,116.0,24,30,11549
2,4.897839799950911,toyota,gas,convertible,rwd,front,65.6,3.970291913552122,ohc,146,116.0,24,30,17669
-1,4.174387269895637,toyota,gas,sedan,fwd,front,66.5,4.005513348515485,ohc,122,92.0,29,34,8948
-1,4.174387269895637,toyota,diesel,sedan,fwd,front,66.5,4.005513348515485,ohc,110,73.0,30,33,10698
-1,4.174387269895637,toyota,gas,hatchback,fwd,front,66.5,3.9871304779149512,ohc,122,92.0,27,32,9988
-1,4.174387269895637,toyota,gas,sedan,fwd,front,66.5,4.005513348515485,ohc,122,92.0,27,32,10898
-1,4.174387269895637,toyota,gas,hatchback,fwd,front,66.5,3.9871304779149512,ohc,122,92.0,27,32,11248
3,5.2832037287379885,toyota,gas,hatchback,rwd,front,67.7,3.9512437185814275,dohc,171,161.0,20,24,16558
3,5.2832037287379885,toyota,gas,hatchback,rwd,front,67.7,3.9512437185814275,dohc,171,161.0,19,24,15998
-1,4.499809670330265,toyota,gas,sedan,rwd,front,66.5,3.9908341858524357,dohc,171,156.0,20,24,15690
-1,4.804021044733257,toyota,gas,wagon,rwd,front,66.5,3.9908341858524357,dohc,161,156.0,19,24,15750
2,4.804021044733257,volkswagen,diesel,sedan,fwd,front,65.5,4.019980146933238,ohc,97,52.0,37,46,7775
2,4.804021044733257,volkswagen,gas,sedan,fwd,front,65.5,4.019980146933238,ohc,109,85.0,27,34,7975
2,4.543294782270004,volkswagen,diesel,sedan,fwd,front,65.5,4.019980146933238,ohc,97,52.0,37,46,7995
2,4.543294782270004,volkswagen,gas,sedan,fwd,front,65.5,4.019980146933238,ohc,109,85.0,27,34,8195
2,4.543294782270004,volkswagen,gas,sedan,fwd,front,65.5,4.019980146933238,ohc,109,85.0,27,34,8495
2,4.543294782270004,volkswagen,diesel,sedan,fwd,front,65.5,4.019980146933238,ohc,97,68.0,37,42,9495
2,4.543294782270004,volkswagen,gas,sedan,fwd,front,65.5,4.019980146933238,ohc,109,100.0,26,32,9995
3,4.804021044733257,volkswagen,gas,convertible,fwd,front,64.2,4.018183201256536,ohc,109,90.0,24,29,11595
3,5.545177444479562,volkswagen,gas,hatchback,fwd,front,64.0,3.9396381724611196,ohc,109,90.0,24,29,9980
0,4.804021044733257,volkswagen,gas,sedan,fwd,front,66.9,4.009149716158869,ohc,136,110.0,19,24,13295
0,4.804021044733257,volkswagen,diesel,sedan,fwd,front,66.9,4.009149716158869,ohc,97,68.0,33,38,13845
0,4.804021044733257,volkswagen,gas,wagon,fwd,front,66.9,4.009149716158869,ohc,109,88.0,25,31,12290
-2,4.634728988229636,volvo,gas,sedan,rwd,front,67.2,4.028916756899646,ohc,141,114.0,23,28,12940
-1,4.30406509320417,volvo,gas,wagon,rwd,front,67.2,4.051784947803305,ohc,141,114.0,23,28,13415
-2,4.634728988229636,volvo,gas,sedan,rwd,front,67.2,4.028916756899646,ohc,141,114.0,24,28,15985
-1,4.30406509320417,volvo,gas,wagon,rwd,front,67.2,4.051784947803305,ohc,141,114.0,24,28,16515
-2,4.634728988229636,volvo,gas,sedan,rwd,front,67.2,4.028916756899646,ohc,130,162.0,17,22,18420
-1,4.30406509320417,volvo,gas,wagon,rwd,front,67.2,4.051784947803305,ohc,130,162.0,17,22,18950
-1,4.553876891600541,volvo,gas,sedan,rwd,front,68.9,4.0163830207523885,ohc,141,114.0,23,28,16845
-1,4.553876891600541,volvo,gas,sedan,rwd,front,68.8,4.0163830207523885,ohc,141,160.0,19,25,19045
-1,4.553876891600541,volvo,gas,sedan,rwd,front,68.9,4.0163830207523885,ohcv,173,134.0,18,23,21485
-1,4.553876891600541,volvo,diesel,sedan,rwd,front,68.9,4.0163830207523885,ohc,145,106.0,26,27,22470
-1,4.553876891600541,volvo,gas,sedan,rwd,front,68.9,4.0163830207523885,ohc,141,114.0,19,25,22625
